Название,Артикул,Цена,Нравится,Гарантия,Описание
Смарт-часы Huawei Watch 4 Pro 49mm титановые,132004, 47080,0,Гарантия:,"

Основные характеристики
Тип: смарт-часы
Поддержка сети: LTE
Поддержка Sim-карт: eSIM

Операционная система
Операционная система: HarmonyOS 3.0

Память
Объем оперативной памяти: 2GB
Объем накопительной памяти: 32GB
Поддержка карт памяти: нет

Дисплей
Тип матрицы: LTPO AMOLED
Размер дисплея: 1.5"" 466x466 px
Плотность пикселей: 310 ppi

Аудио
Количество динамиков: 1
Поддержка аудио-разъема AUX 3.5 mm: нет

Коммуникативные возможности и интерфейсы
Поддержка Wi-Fi: 802.11 bgn
Поддержка Bluetooth: 5.2, A2DP, LE
Поддержка GPS: GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS
Поддержка NFC: есть

Питание
Тип аккумулятора: литий-ионный, несъемный
Поддержка беспроводной зарядки: есть
Время автономной работы в стандартном режиме: до 4.5 дней

Защищенность
Класс водонепроницаемости: 5 ATM

Конструкция
Материал безеля: титан
Материал браслета: титан
Обхват ремешка: 140-210 мм
Материал экрана: сапфировое стекло
Размеры: 48.8 х 47.6 х 12.9 мм
Вес: 65 г
                            "
Смарт-часы Apple Watch Ultra 2 + ремешок Ocean band оранжевый,127665, 64410,2,Гарантия:,"

Основные характеристики
Тип: смарт-часы
Поддержка сети: GSM / HSPA / LTE
Поддержка Sim-карт: eSIM

Операционная система
Операционная система: watch OS 10
Тип пользовательского интерфейса: Apple UI

Дисплей
Тип матрицы: Retina LTPO OLED
Размер дисплея: 1.92"" 502x410 px
Плотность пикселей: 338 ppi
Максимальная яркость: 3000 nit
Защита экрана: сапфировое стекло

Платформа 
Чипсет: Apple S9
Видеоконтроллер: PowerVR

Аппаратное обеспечение
Объем памяти: 64 GB
Поддержка карт памяти: нет

Аудио
Количество динамиков: 2
Поддержка аудио-разъема AUX 3.5 mm: нет
Максимальный объем звука: 86 дБ

Коммуникативные возможности и интерфейсы
Поддержка Wi-Fi: 802.11 bgn
Поддержка Bluetooth: v5.3, A2DP, LE
Поддержка GPS: GPS, GLONASS, GALILEO, BDS
Поддержка NFC: есть

Питание
Тип аккумулятора: литий-ионный, несъемный
Емкость аккумулятора: 564 mAh
Поддержка беспроводной зарядки: есть

Защищенность
Класс защищенности: IP6X
Класс водонепроницаемости: 100m

Конструкция
Материал рамки: титан
Материал экрана: сапфировое стекло
Размеры: 49 х 44 х 14.4 мм
Вес: 61.4 г
                            "
Беспроводные наушники Apple Airpods 4 ANC,141084, 18370,0,Гарантия: указана в талоне,"

Основные характеристики
Тип: беспроводные наушники
Подключение: Bluetooth 5.3
Управление: нажатием
Чип: Apple H2
Класс защищенности: IP54

Аудиотехнологии
Драйвер с широкой амплитудой, разработанный Apple
Специальный усилитель с широким динамическим диапазоном
Активное шумоподавление
Адаптивное аудио
Режим прозрачности
Изоляция голоса
Пространственное аудио и функция динамического отслеживания движений головы
Адаптивный эквалайзер
Система выравнивания давления

Датчики
Сдвоенные направленные микрофоны
Направленный внутрь микрофон
Акселерометр с детекцией движения
Акселерометр с распознаванием речи
Датчик силы нажатия

Зарядный кейс
Поддерживается зарядка через разъём USB Type-C, Apple Watch charger, Qi-certified charger
Встроенный динамик

Время автономной работы
До 4 часов в режиме прослушивания аудио с включенным шумоподавлением
До 5 часов в режиме прослушивания аудио
До 4.5 часов в режиме разговора

Время автономной работы с учетом зарядного кейса
До 20 часов в режиме прослушивания аудио с включенным шумоподавлением
До 30 часов в режиме прослушивания аудио
До 20 часов в режиме разговора

Размеры
Размеры наушника: 30.2 х 18.3 х 18.1 мм
Размеры зарядного футляра: 50.1 х 21.2 х 46.2 мм

Комплектация
1 х AirPods 4 ANC
1 x Зарядный кейс USB-C с встроенным динамиком
                            "
Очки Apple Vision Pro 256GB,132866, 250770,1,Гарантия:,"

Основные характеристики
Тип: гарнитура дополненной и виртуальной реальности
Объем памяти: 256 Гб

Дисплей
Максимальное разрешение: 23 Mpx
Шаг пикселя: 7.5 микрона
Цветовой охват: 92% DCI-P3
Частота обновления кадров: 90/96/100 Гц
Поддержка воспроизведения видео: 24/30 fps

Чипсет 
Вычислительный процессор: Apple M2
Количество ядер процессора: 8
Количество ядер видеоконтроллера: 10
Количество ядер нейронного процессора: 16
Объем унифицированной памяти: 16 Гб
Процессор обработки данных: Apple R1
Время отклика: 12 мс
Пропускная способность памяти: 256 Гб/с

Камера
Система камер: стереоскопическая
Тип фото- и видеосъемки: пространственная
Разрешение: 6.5 стерео мегапикселей
Апертура: F/2.0

Сенсоры и датчики
2 камеры высокого разрешения
6 камер пространственного слежения
4 камеры слежения за взглядом
1 датчик глубины True Depth
1 LiDAR сканер
4 инерциальных измерительных блока (IMU)
1 датчик мерцания
1 датчик освещенности

Оптическая идентификация
Биометрическая аутентификация на основе радужной оболочки глаза
Шифрование данных аутентификации процессором Secure Enclave
Защита личных данных в приложениях
Возможность приобретения приложений в iTunes Store и App Store

Аудиотехнологии
Пространственный звук с динамическим отслеживанием положения головы
Персонализированное пространственное аудио и трассировка звуковых волн
6 встроенных микрофонов
Поддержка AirPods Pro Gen2 с зарядкой MagSafe
Воспроизведение аудио: AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus, и Dolby Atmos
Воспроизведение видео: HEVC, MV-HEVC, H.264, HDR with Dolby Vision, HDR10, и HLG

Аккумулятор
Время автономной работы: до 2х часов
Время воспроизведения видео: до 2.5 часов
Возможность использования в процессе заряжания прибора

Коммуникативные возможности
Поддержка Wi-Fi: Wi-Fi 6 (802.11ax)
Поддержка Bluetooth: 5.3
Операционная система: visionOS 

Управление
Поддержка управления руками: есть
Поддержка управления взглядом: есть
Поддержка управления голосом: есть
Поддержка управления аксессуарами: клавиатура, трекпад, игровой контроллер

Межзрачковое расстояние
Регулировка межзрачкового расстояния: механическая
Диапазон регулировки: 51 - 75 мм

Вес
Максимальный вес: 650 г
                            "
Экран для проектора I-View TC-MPS-200 Matte White,113192, 6050,3,Гарантия:,"

Основные характеристики
Тип: экран для проектора
Цвет корпуса: белый

Экран
Размеры полотна: 200 х 200 см
Цвет полотна: белый матовый

Технические характеристики
Форма корпуса: цилиндрическая
Тренога: не предусмотрена
Монтаж: настенный
                            "
Гитара классическая Yamaha C40M,23059, 12070,11,Гарантия:,"

Описание
Серия С гитар Yamaha была запущена ещё в далеком 1986 году. Спустя более 25 лет, популярность серии с каждым годом только растет.

C40 – одна из самых недорогих полноразмерных классических моделей от Yamaha. На фоне конкурентов инструмент выделяется высоким качеством сборки, комфортностью (удобство игры особенно важно для начинающих), прекрасным тембром и приятной ценой.

Топ инструмента Yamaha C40 изготовлен из ели, задняя дека и обечайка — из меранти, гриф — из нато, накладка на гриф и бридж — из палисандра. Гитара выполнена в натуральном цвете и имеет глянцевое покрытие, кроме грифа, — он сзади матовый. Традиционно, на классической гитаре поставлены синтетические струны — нейлоновые.

Гитара Yamaha C40 по праву считается одной из лучших для начинающих гитаристов и любителей, которая будет радовать своего хозяина многие годы.

Звукосниматель
Наличие звукоснимателя Нет

Материалы
Верхняя дека Ель
Нижняя дека Меранти
Боковые панели (обечайка) Меранти
Гриф Нато
Накладка грифа Палисандр
Бридж (подставка/струнодержатель) Палисандр
Тип Классические
Количество струн 6
Количество ладов 19
Размер Полноразмерные
Мензура 650 мм
Ширина накладки грифа у верхнего порожка 52 мм
Колки Литые хромированные
Дополнительные характеристики Глубина корпуса: 94 - 100 мм
Цвет Натуральный матовый
"
Холодильник Artel HD 276FN S-WH,83699, 16970,10,Гарантия: 12 месяцев,"

Общие характеристики
Общий полезный объем: 212
Технология NO FROST: нет
Управление работой холодильника: механическое
Внутреннее освещение LED лампа: есть
Мощность замораживания: 2 кг/сут
Климатическое исполнение (субтропический): ST
Уровень шума: 42 дБ

Энергопотребление
Энергопотребление в год: 219 кВт / ч
Класс энергоэффективности (энергопотребления): A+

Морозильная камера
Объем морозильной камеры: 46 л
Расположение морозильной камеры: сверху
Количество отделений: 2
Система размораживания: ручное
Решеточная полка: есть

Холодильная камера
Объем холодильной камеры: 166 л
Количество полок: 4
Количество больших барьеров-полок двери: нет
Количество средних барьеров-полок двери: 3
Ящик для хранения фруктов и овощей: 1
Система размораживания: капельное
Материал полок: закалённое стекло

Преимущества
Компрессоры от мировых лидеров производства: есть
Высокая энергоэффективность: есть
Светодиодная подсветка: есть
Оптимальная влажность: есть
Каленное прочное стекло полок: есть
Хладагент: R 600A

Габариты и вес
Габаритные размеры без упаковки: 1445 x 555 x 570 мм
Габаритные размеры с упаковкой: 1480 x 580 x 610 мм
Вес без упаковки: 45 кг
                            "
Увлажнитель воздуха Centek CT-5101 голубой,75269, 3528,1,Гарантия:,"

Общие характеристики
Тип: увлажнитель воздуха
Потребляемая мощность: 25 Вт
Обслуживаемая площадь: 30 кв.м
Цвет: белый, голубой

Производительность
Продолжительность работы: 8.5 ч
Объем резервуара для воды: 2.5 л
Расход воды: 300 мл/ч
 
Особенности
Управление: механическое
Установка: напольная, настольная
Источник питания: сеть
                            "
Газовый котел Baxi ECO-4s 1.24F,142511, 63000,0,Гарантия:,"

Характеристики
Мощность кВт24
Тип котла традиционный (атмосферный)
ГВС одноконтурный котёл
Вид топлива газ
Установка настенный
Назначение котлатолько отопление
Камера сгорания закрытая с принудительным удалением продуктов сгорания
Материал теплообменника медь
Макс. полезная тепловая мощность кВт24
Мин. полезная тепловая мощность кВт9,3
Макс. потребляемая тепловая мощность кВт25,8
Мин. потребляемая тепловая мощность кВт10,6
Макс. расход природного/сжиженного газам ³/ч (кг/ч)2,73 (2,0)
Макс. производительность (КПД) %92,9
Производительность (КПД) при 30% мощности %90,2
Емкость/давление заполнения расшир. бака отоплениял бар6/0,5
Диапазон регулирования темп. в контуре ГВС°С35-60
Диаметр дымоотвод. труб (коакс./раздельных)мм (60-100)/80
Макс. длина дымоотвод. труб (коакс./раздельных) м5/23
Номинальное входное давление природного газам бар13-20
Электрическая мощность/напряжениет /В130/230

Габариты
Габаритные размеры высотамм 730
Габаритные размеры ширинамм 400
Габаритные размеры глубинамм 299
Вес НЕТТО/БРУТТО кг29,5/32,5
Упаковочные размерымм 490x830x340
                            "
Газовый котел Baxi ECO-4S 24F,142512, 62500,0,Гарантия:,"

Описание
Мощность кВт24
Тип котла традиционный (атмосферный)
ГВС проточный нагрев
Вид топлива газ
Установка настенный
Назначение котлаотопление и ГВС
Камера сгорания закрытая с принудительным удалением продуктов сгорания
Материал теплообменника медь
Макс. полезная тепловая мощность кВт24
Мин. полезная тепловая мощность кВт9,3
Макс. потребляемая тепловая мощность кВт25,8
Мин. потребляемая тепловая мощность кВт10,6
Макс. расход природного/сжиженного газа м³/ч (кг/ч)2,73 (2,0)
Макс. производительность (КПД)%92,9
Производительность (КПД) при 30% мощности %90,4
Емкость/давление заполнения расшир. бака отоплениял/бар 6/0,5
Диапазон регулирования темп. в контуре ГВС°С35-60
Производительность горячей воды при Δt=25°Сл/мин 13,7
Производительность горячей воды при Δt=35°Сл/час 9,8
Мин. расход воды в контуре ГВСл/мин 2
Макс./мин. давление в контуре ГВСбар 8/0,15
Диаметр дымоотвод. труб (коакс./раздельных)мм (60-100)/80
Макс. длина дымоотвод. труб (коакс./раздельных)м 5/23
Номинальное входное давление природного газа мбар13-20
Электрическая мощность/напряжение Вт/В130/230

Габариты
Габаритные размеры высота мм 730
Габаритные размеры ширина мм 400
Габаритные размеры глубина мм 299
Вес НЕТТО/БРУТТО кг30/33
Упаковочные размеры мм 490x830x340
                            "
Тонометр Omron M2 Basic HEM-7121-ALRU,85372, 5999,1,Гарантия: 3 месяца,"

Основные характеристики
Тип автоматический, на плечо
Отображение информации ЖК-экран
Манжета универсальная
Минимальный размер манжеты 22 см
Максимальный размер манжеты 42 см
Питание от батареек, от сети
Тип батареек AA
Количество батареек 4
Адаптер питания в комплекте есть

Функции
Функции измерение пульса
Погрешность измерения давления 3 мм рт. ст.
Погрешность измерения пульса 5%
Функции памяти автоматическая память последнего измерения
Количество ячеек памяти 30
Индикация индикатор аритмии

Дополнительная информация
Веерообразная манжета; запатентованная система Intellisense учитывает состояние сосудов пациента при измерении и рассчитывает давление исходя из трех возможных показателей: ЧСС, времени и осцилляций, что позволяет пациенту быть уверенным в точности полученного результата; Intellisense анализирует и выбирает необходимое из сотни тысяч возможных комбинаций результатов артериального давления человека; работает с малой манжетой 17-22 см

Габариты
Размеры 103x80x129 мм
Вес 255 г
                            "
Стайлер Dyson Airwrap Complete Long HS08 Strawberry Bronze,142493, 50140,0,Гарантия:,"

Основные характеристики
Тип: стайлер
Мощность: 1300 Вт

Технические характеристики
Количество скоростей: 3
Количество режимов нагрева: 3
Воздушный поток: 13.5 л/с
Длина шнура: 2.68 м

Размеры
Размеры: 41 х 48 х 272 мм
Вес: 581 г
                            "
Стайлер Dyson Airwrap Complete Long HS08 Ceramic Patina,142494, 50140,0,Гарантия:,"

Основные характеристики
Тип: стайлер
Мощность: 1300 Вт

Технические характеристики
Количество скоростей: 3
Количество режимов нагрева: 3
Воздушный поток: 13.5 л/с
Длина шнура: 2.68 м

Размеры
Размеры: 41 х 48 х 272 мм
Вес: 581 г
                            "
Стайлер Dyson Airwrap Complete Long HS08 Vinca Blue,142495, 50140,0,Гарантия:,"

Основные характеристики
Тип: стайлер
Мощность: 1300 Вт

Технические характеристики
Количество скоростей: 3
Количество режимов нагрева: 3
Воздушный поток: 13.5 л/с
Длина шнура: 2.68 м

Размеры
Размеры: 41 х 48 х 272 мм
Вес: 581 г
                            "
